league,season,match_url
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/antwerp-charleroi-thPCUuEb/
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/club-brugge-antwerp-EVACnTRb/
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/genk-anderlecht-I3H3lkcn/
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/royale-union-sg-gent-Sz6hsYkJ/
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/charleroi-leuven-AHSXTxYh/
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/dender-kv-mechelen-vcKlQfXH/
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/westerlo-st-liege-IsWuSG25/
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/cercle-brugge-patro-eisden-SCHczQx9/
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/patro-eisden-cercle-brugge-06PBCMp2/
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/gent-genk-nRcpqfL6/
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/kv-mechelen-charleroi-jFCWVb3t/
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/anderlecht-club-brugge-v1fxoGjf/
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/antwerp-royale-union-sg-Io6TnxMs/
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/st-liege-dender-z3xNBeIO/
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/leuven-westerlo-vyqEDHmC/
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/dender-leuven-WAu6FwJa/
Belgium Jupiler League,2024-2025,https://www.oddsportal.com/football/belgium/jupiler-pro-league-2024-2025/genk-club-brugge-n3FchbbK/
