league,season,match_url
Denmark Superliga,2023-2024,https://www.oddsportal.com/football/denmark/superliga-2023-2024/fc-copenhagen-randers-fc-MiOHrp54/
Denmark Superliga,2023-2024,https://www.oddsportal.com/football/denmark/superliga-2023-2024/brondby-aarhus-CCiAZx1p/
Denmark Superliga,2023-2024,https://www.oddsportal.com/football/denmark/superliga-2023-2024/fc-copenhagen-nordsjaelland-fX4rvJhT/
Denmark Superliga,2023-2024,https://www.oddsportal.com/football/denmark/superliga-2023-2024/midtjylland-silkeborg-rc1vuawN/
Denmark Superliga,2023-2024,https://www.oddsportal.com/football/denmark/superliga-2023-2024/hvidovre-if-lyngby-xClcMmSJ/
Denmark Superliga,2023-2024,https://www.oddsportal.com/football/denmark/superliga-2023-2024/randers-fc-vejle-G2m1L7sQ/
Denmark Superliga,2023-2024,https://www.oddsportal.com/football/denmark/superliga-2023-2024/viborg-odense-MqQTGRks/
Denmark Superliga,2023-2024,https://www.oddsportal.com/football/denmark/superliga-2023-2024/aarhus-fc-copenhagen-0YBZuuOG/
Denmark Superliga,2023-2024,https://www.oddsportal.com/football/denmark/superliga-2023-2024/nordsjaelland-midtjylland-MsDVtL8A/
Denmark Superliga,2023-2024,https://www.oddsportal.com/football/denmark/superliga-2023-2024/silkeborg-brondby-h88Rs1g4/
Denmark Superliga,2023-2024,https://www.oddsportal.com/football/denmark/superliga-2023-2024/lyngby-viborg-ldeFc4kJ/
Denmark Superliga,2023-2024,https://www.oddsportal.com/football/denmark/superliga-2023-2024/vejle-hvidovre-if-A5dBbpzD/
Denmark Superliga,2023-2024,https://www.oddsportal.com/football/denmark/superliga-2023-2024/odense-randers-fc-St76aQK6/
Denmark Superliga,2023-2024,https://www.oddsportal.com/football/denmark/superliga-2023-2024/fc-copenhagen-midtjylland-EH9Nrsvb/
Denmark Superliga,2023-2024,https://www.oddsportal.com/football/denmark/superliga-2023-2024/aarhus-silkeborg-WhKIqNOi/
Denmark Superliga,2023-2024,https://www.oddsportal.com/football/denmark/superliga-2023-2024/hvidovre-if-odense-Ew320650/
