league,season,match_url
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/arsenal-wolves-M1w8YmqE/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/aston-villa-brighton-KndBX7bK/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/brentford-manchester-city-E9eFWRDQ/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/chelsea-newcastle-utd-GIssSoMs/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/crystal-palace-nottingham-YgxnR5yl/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/everton-bournemouth-CpyjQPjf/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/leeds-tottenham-67zfPq60/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/leicester-west-ham-KAvbO3L6/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/manchester-united-fulham-2ZT2NNzD/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/southampton-liverpool-tQS6MsjJ/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/manchester-united-chelsea-n7guQMeI/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/brighton-manchester-city-G8hKUpsm/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/newcastle-utd-leicester-jH78Dn7l/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/manchester-city-chelsea-xE34ESir/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/brighton-southampton-0W0yLUEE/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/west-ham-leeds-t60LApi7/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/nottingham-arsenal-YucDC6Mf/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/bournemouth-manchester-united-Mu2XLAa8/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/fulham-crystal-palace-trIYJlUK/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/liverpool-aston-villa-KYGxJ8qR/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/wolves-everton-KdaP946D/
England Premier League,2022-2023,https://www.oddsportal.com/football/england/premier-league-2022-2023/tottenham-brentford-CWeHBQy1/
