league,season,match_url
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/reims-metz-d2UI0Kq4/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/metz-reims-0zyA2tFi/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/lens-monaco-2TI0VAEN/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/lille-reims-QNNyyFpn/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/lyon-angers-fsvIKg05/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/marseille-rennes-nHzAMFVh/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/nantes-montpellier-f3FhXWqB/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/nice-brest-j9XQIXUH/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/psg-auxerre-KpaXPlxo/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/st-etienne-toulouse-OMVYGBaU/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/strasbourg-le-havre-YmRqZhFb/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/metz-dunkerque-YcKYizC7/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/dunkerque-guingamp-ttkOZVKG/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/angers-strasbourg-p44guBED/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/auxerre-nantes-OlGpsXq1/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/brest-lille-6XXzhlbJ/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/le-havre-marseille-CAdu3E6K/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/monaco-lyon-nVLpqEWo/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/montpellier-psg-2uyKeWbf/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/reims-st-etienne-GOCxqgFl/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/rennes-nice-URxCchUs/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/toulouse-lens-b7USgAT6/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/lille-marseille-CGkxGfo2/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/auxerre-le-havre-Y39DlFiR/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/brest-montpellier-0xWWyx8L/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/lyon-lens-GldTHGGk/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/nantes-angers-xIPAUg0e/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/st-etienne-monaco-G2y2WFVr/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/toulouse-rennes-prTISXU7/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/strasbourg-psg-0jB5jyNE/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/nice-reims-4AxOwbw9/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/marseille-brest-p0MlPbOF/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/lens-auxerre-lExn5wXq/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/montpellier-reims-dtLDNomB/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/nantes-toulouse-lGH5P7Ib/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/angers-lille-MRzf3H1d/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/lyon-rennes-6FAcNxgS/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/le-havre-monaco-xxlm7Q2U/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/strasbourg-st-etienne-S0TdRTmn/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/psg-nice-xzJtRKg3/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/nantes-psg-UH5lVWkD/
France Ligue 1,2024-2025,https://www.oddsportal.com/football/france/ligue-1-2024-2025/st-etienne-lyon-drMH5DRP/
