league,season,match_url
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/atalanta-ac-milan-zTgyEAHp/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/bologna-juventus-h8jCJWgN/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/napoli-verona-OlzWZiv4/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/sassuolo-lazio-WbkGIj9T/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/spezia-as-roma-SMtNyE9i/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/torino-benevento-2JcaMY94/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/inter-udinese-tQpRzYOc/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/cagliari-genoa-boi8KCvH/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/crotone-fiorentina-prm4LhPA/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/sampdoria-parma-EJhuDUWj/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/lazio-torino-SU0DYSuo/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/verona-bologna-APYL8Fu5/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/ac-milan-cagliari-lGXP7ZfB/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/parma-sassuolo-fgfiOfuh/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/benevento-crotone-6iSU6gAH/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/udinese-sampdoria-G2emPzQo/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/fiorentina-napoli-EcH40imo/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/as-roma-lazio-v5Qx5XvU/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/juventus-inter-prRY5DPN/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/genoa-atalanta-G2ZH9eQb/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/spezia-torino-OSbeNEfb/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/crotone-verona-2aVDAyBh/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/atalanta-benevento-v35zcItg/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/bologna-genoa-zVbqedB5/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/inter-as-roma-4Aj0iEAU/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/lazio-parma-QJidhfeO/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/sampdoria-spezia-tps5Cctt/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/sassuolo-juventus-UibmfGQB/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/torino-ac-milan-re2igztI/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/cagliari-fiorentina-dv0udxda/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/napoli-udinese-Kzt9BHen/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/juventus-ac-milan-Gp2Ch3k7/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/as-roma-crotone-8Kb4fPKf/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/benevento-cagliari-Qe9ae55l/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/parma-atalanta-fDIT0RsR/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/verona-torino-0C6WcbRn/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/genoa-sassuolo-6k7SbvCt/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/fiorentina-lazio-nBc8gqz1/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/inter-sampdoria-dtuaG6sE/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/spezia-napoli-fy1GiN4D/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/udinese-bologna-Ch5edojr/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/torino-parma-dK3O3Tc8/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/sampdoria-as-roma-zB2S2mDE/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/udinese-juventus-rHFtupL7/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/bologna-fiorentina-8bNTsnyk/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/napoli-cagliari-vPIPrSLr/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/sassuolo-atalanta-fisgllbL/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/lazio-genoa-nkMXt6je/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/ac-milan-benevento-xGWcm8DR/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/crotone-inter-UDBxtQ51/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/verona-spezia-GMJP17SK/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/lazio-ac-milan-0KvmV8iq/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/torino-napoli-ENriUS6k/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/atalanta-bologna-UV48xia9/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/cagliari-as-roma-8preTnMe/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/fiorentina-juventus-fw2KZlqS/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/inter-verona-d6OkkUrF/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/benevento-udinese-2qPojAT8/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/sassuolo-sampdoria-nysaS6y2/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/parma-crotone-Gn3GzVTL/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/genoa-spezia-OhQsijE2/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/napoli-lazio-OYT8HkNq/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/as-roma-atalanta-fDjQPDF3/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/bologna-torino-n7F3wXq3/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/crotone-sampdoria-K0NHFTid/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/genoa-benevento-Y3kUOXU9/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/juventus-parma-tAODG9xj/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/spezia-inter-MPssMVES/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/udinese-cagliari-GSvZNipG/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/ac-milan-sassuolo-Y3BavDUd/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/verona-fiorentina-S2rwNBaM/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/napoli-inter-YVB1NKg5/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/torino-as-roma-Wv5V3Whp/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/atalanta-juventus-0hrbMv9B/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/bologna-spezia-pr9Z2j8j/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/lazio-benevento-nF9kQM9n/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/ac-milan-genoa-fuDcO0va/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/cagliari-parma-vqs2LbOH/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/sassuolo-fiorentina-0IDgPtPh/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/crotone-udinese-nmmIRZpi/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/sampdoria-verona-QwnMQg0c/
Italy Serie A,2020-2021,https://www.oddsportal.com/football/italy/serie-a-2020-2021/benevento-sassuolo-2sYIVrnP/
