league,season,match_url
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eerste-divisie-2022-2023/fc-emmen-almere-city-zJYnE35E/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/twente-sparta-rotterdam-EBKsnokf/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/sparta-rotterdam-twente-zLLwmRZm/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eerste-divisie-2022-2023/almere-city-fc-emmen-OrVrFqj8/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/sparta-rotterdam-utrecht-Y9x2Jrap/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/twente-heerenveen-jyQQH5ps/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eerste-divisie-2022-2023/fc-emmen-nac-breda-SEnv4e6h/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eerste-divisie-2022-2023/almere-city-venlo-KffNiLPk/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/utrecht-sparta-rotterdam-tEEYzBUH/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/heerenveen-twente-YewaMoxQ/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eerste-divisie-2022-2023/nac-breda-fc-emmen-Yimz5yin/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eerste-divisie-2022-2023/venlo-almere-city-6ijJh1Aq/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/az-alkmaar-psv-ITGeSMDl/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/cambuur-waalwijk-0h60RtTf/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/fc-volendam-excelsior-IsdUtMSs/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/feyenoord-vitesse-EeA4Q0r1/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/groningen-sparta-rotterdam-n98COvDD/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/heerenveen-g-a-eagles-OQiemOkE/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/sittard-nijmegen-8I98PKc7/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/twente-ajax-2Hjanr5K/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/utrecht-fc-emmen-dvj3o2KQ/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eerste-divisie-2022-2023/maastricht-nac-breda-fXr6of1j/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eerste-divisie-2022-2023/willem-ii-venlo-SISP5On5/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eerste-divisie-2022-2023/almere-city-eindhoven-fc-OpMY32HH/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eerste-divisie-2022-2023/nac-breda-maastricht-0Aq2nznp/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eerste-divisie-2022-2023/venlo-willem-ii-YeTL64Xb/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eerste-divisie-2022-2023/eindhoven-fc-almere-city-69RT4r2B/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/ajax-utrecht-nsYhVkUS/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/excelsior-sittard-6REPPTij/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/fc-emmen-feyenoord-ljKKQ9xp/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/g-a-eagles-fc-volendam-pIDTOm7d/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/nijmegen-az-alkmaar-bL1BmXqc/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/psv-heerenveen-CO5Fnia3/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/sparta-rotterdam-cambuur-YwfOpVTF/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/vitesse-groningen-vwIiT2br/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/waalwijk-twente-fmeKoBE9/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/groningen-ajax-ddesDj8p/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/az-alkmaar-fc-emmen-vH8FHWaT/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/psv-sittard-bLutYipA/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/feyenoord-g-a-eagles-KUtxZXU3/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/vitesse-cambuur-hKYlWVEM/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/utrecht-waalwijk-C4wUzf0i/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/heerenveen-excelsior-tpVpXBaG/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/fc-volendam-sparta-rotterdam-jexYZDFc/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/twente-nijmegen-AaaoCANj/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/sittard-vitesse-4OobNzWi/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/excelsior-feyenoord-xIgCaXwo/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/g-a-eagles-groningen-nmy3Mfob/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/fc-emmen-twente-QXnfOGGo/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/ajax-az-alkmaar-z97p4DVT/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/cambuur-utrecht-Y3wFJhVG/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/nijmegen-heerenveen-0ju7LE04/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/sparta-rotterdam-psv-0Q9BICpN/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/waalwijk-fc-volendam-fDvBKYFA/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/groningen-nijmegen-44JCBwXu/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/az-alkmaar-waalwijk-vsh6jf1U/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/feyenoord-utrecht-jLLO8yHb/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/g-a-eagles-sittard-8dGT7eW4/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/psv-ajax-nmFX6FoB/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/twente-sparta-rotterdam-I7NGAcnn/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/vitesse-excelsior-hpIu5gGN/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/heerenveen-fc-emmen-tAEy6Z0H/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/fc-volendam-cambuur-CUMK9H1h/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/g-a-eagles-waalwijk-EaOMVt2j/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/ajax-fc-emmen-jgo5FnYD/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/sittard-az-alkmaar-I71oeIna/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/cambuur-feyenoord-hQgbhGWH/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/fc-volendam-psv-Op2sdbXh/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/utrecht-twente-pf3wcvIn/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/nijmegen-vitesse-WA5kfx25/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/sparta-rotterdam-heerenveen-0jg2iznO/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/waalwijk-groningen-EZffgdHB/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/excelsior-g-a-eagles-SI8YcK2t/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/feyenoord-waalwijk-IkjBg5Bf/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/ajax-sittard-dI6S1T3E/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/fc-emmen-nijmegen-4rAz07YQ/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/twente-cambuur-lGo7fodl/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/heerenveen-fc-volendam-v5vKiqt7/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/az-alkmaar-sparta-rotterdam-ju6W0mJK/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/psv-excelsior-dtkFhPQ0/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/vitesse-g-a-eagles-xjcNj3eD/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/groningen-utrecht-APn3eRtr/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/sittard-groningen-lfAWs8Cr/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/sparta-rotterdam-feyenoord-IR7O29l8/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/utrecht-fc-volendam-noO4nl4R/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/g-a-eagles-ajax-WIaysSRl/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/waalwijk-vitesse-vq3qu6d1/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/cambuur-fc-emmen-IZ1mvQB7/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/nijmegen-psv-pM3utnse/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/excelsior-twente-IBJ0mUlL/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/az-alkmaar-heerenveen-vLKdlAZE/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/twente-az-alkmaar-zipcT8ck/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/vitesse-psv-ddVikjK8/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/ajax-feyenoord-rg5Izi5F/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/excelsior-cambuur-QHfNZAKL/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/groningen-heerenveen-d0ogUlrq/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/waalwijk-nijmegen-pMRmjW42/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/fc-emmen-sparta-rotterdam-vLbRYUZR/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/utrecht-g-a-eagles-hSv2SSCe/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/fc-volendam-sittard-WIw6RnS1/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/feyenoord-fc-volendam-ITxiy3vT/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/psv-cambuur-Wzg7wgLd/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/heerenveen-ajax-ARiBxDz3/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/nijmegen-utrecht-S2SQU0Hd/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/sparta-rotterdam-vitesse-426EyXk9/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/az-alkmaar-groningen-M1qrwP9G/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/sittard-twente-KxPIWMnp/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/fc-emmen-excelsior-0hrnxqPM/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/cambuur-g-a-eagles-G4tzuou4/
Netherlands Eredivisie,2022-2023,https://www.oddsportal.com/football/netherlands/eredivisie-2022-2023/ajax-nijmegen-vLr3xhJ5/
