league,season,match_url
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/rio-ave-arouca-8AgUDNZN/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/arouca-rio-ave-SbxXE3KH/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/sporting-lisbon-maritimo-pjF0g0Um/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/gil-vicente-boavista-tOJUbM6Q/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/moreirense-famalicao-h2wzwup7/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/nacional-rio-ave-hGI8iva0/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/portimonense-braga-2RPeftFs/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/santa-clara-sc-farense-OtE4hKqf/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/vitoria-guimaraes-benfica-n1KQa2iK/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/fc-porto-bsad-8ALM0rxE/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/tondela-pacos-ferreira-WhxvxaaD/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/maritimo-vitoria-guimaraes-Em0mnqNK/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/bsad-santa-clara-WOArmP7E/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/famalicao-nacional-IL6vl5h8/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/rio-ave-fc-porto-OMoJtNpr/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/benfica-sporting-lisbon-pxzSv1Ff/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/boavista-portimonense-2DpNus0l/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/sc-farense-tondela-buvWwLU0/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/braga-moreirense-hvaio3xR/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/pacos-ferreira-gil-vicente-4IIdPLF7/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/vitoria-guimaraes-famalicao-W4rcyS82/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/sporting-lisbon-boavista-ILp9YPhL/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/nacional-benfica-vVo5Z5wF/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/santa-clara-rio-ave-QRJhQ101/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/tondela-bsad-Aes1znO8/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/fc-porto-sc-farense-8jPmRsoe/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/portimonense-moreirense-UaQqSNVl/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/gil-vicente-braga-0pzEXq8R/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/pacos-ferreira-maritimo-zwRuT3Gr/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/boavista-tondela-Ua4ECrW1/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/famalicao-santa-clara-vc8xYh2A/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/sc-farense-vitoria-guimaraes-Im7tXCHG/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/benfica-fc-porto-rq22Fpnq/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/bsad-portimonense-MZ06E41k/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/moreirense-nacional-pz9YYYn4/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/rio-ave-sporting-lisbon-Gd0ADOGe/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/braga-pacos-ferreira-WW4UZEXc/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/maritimo-gil-vicente-l8FPzeIi/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/sporting-lisbon-nacional-z5kjMe3b/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/portimonense-rio-ave-AHGLyy3o/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/santa-clara-boavista-Qgr3JgmH/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/gil-vicente-sc-farense-M1NwDiQp/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/fc-porto-famalicao-dEjnNylh/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/tondela-benfica-WWraKZXA/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/vitoria-guimaraes-moreirense-KhyCHXHT/
Portugal Liga,2020-2021,https://www.oddsportal.com/football/portugal/primeira-liga-2020-2021/pacos-ferreira-bsad-htpeLFI4/
