league,season,match_url
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/kilmarnock-dundee-fc-f3Vt0awd/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/dundee-fc-kilmarnock-Cvtx1uOk/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/hamilton-kilmarnock-23ktqNoo/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/motherwell-ross-county-48TO76Oo/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/st-mirren-dundee-utd-raSS6Qwh/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/dundee-fc-raith-KYOnPz0i/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/hibernian-celtic-AVcJZLC2/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/rangers-aberdeen-lMdNYuS8/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/st-johnstone-livingston-rqdRXasF/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/raith-dundee-fc-ITp40iNj/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/aberdeen-hibernian-xQgzDb5k/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/kilmarnock-st-mirren-d4N81V1C/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/ross-county-hamilton-jRMC0kHI/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/celtic-st-johnstone-WngvCIKe/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/livingston-rangers-AwhrBxz2/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/dundee-utd-motherwell-IDO42Bn6/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/raith-dunfermline-WrRuEGDq/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/dunfermline-raith-Q1lDId5S/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/rangers-celtic-OMkWDvjq/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/hibernian-st-johnstone-4YxbWn6A/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/livingston-aberdeen-rPy2V6LG/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/dundee-utd-ross-county-Iwf05D2m/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/motherwell-kilmarnock-C0g44XHg/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/st-mirren-hamilton-jih83iXa/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/aberdeen-celtic-EqpoZlMi/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/kilmarnock-dundee-utd-bgDTAZvQ/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/ross-county-st-mirren-4zjd6gms/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/st-johnstone-rangers-zaYgXSj4/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/hibernian-livingston-d8ZkY8yb/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/hamilton-motherwell-K2EPBFPJ/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/rangers-hibernian-29tszV6o/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/celtic-livingston-nc6XFRLT/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/st-johnstone-aberdeen-l6haBoUp/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/hamilton-dundee-utd-AXWYlhI6/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/kilmarnock-ross-county-hdMwlCXC/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/motherwell-st-mirren-WnLsmWnJ/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/celtic-rangers-bwLLrcy6/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/dundee-utd-aberdeen-xUJPsHjC/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/hamilton-st-mirren-WjJTty6I/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/kilmarnock-motherwell-rTocP8zo/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/livingston-hibernian-pYPulhDo/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/st-johnstone-ross-county-OOOqmCSi/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/livingston-hamilton-GM3g9yTk/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/ross-county-hibernian-nPp7w2aQ/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/dundee-utd-celtic-QTOqiLTP/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/aberdeen-hamilton-nwQuh1EJ/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/motherwell-livingston-WA1Cnuxs/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/rangers-st-mirren-pE5Goaim/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/ross-county-kilmarnock-vy5KpJ6g/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/st-johnstone-hibernian-IR3OqwMa/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/hamilton-st-johnstone-p0QsXaxf/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/livingston-rangers-KWXgUcMC/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/celtic-aberdeen-69RwYuNm/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/hibernian-motherwell-vNPoWJi0/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/kilmarnock-dundee-utd-x8rkVw76/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/st-mirren-ross-county-bNWcTHyJ/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/st-mirren-motherwell-p6JY4SzB/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/ross-county-celtic-KAK4rlsN/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/rangers-dundee-utd-QmL0qURG/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/aberdeen-kilmarnock-hbTmnWsb/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/hibernian-hamilton-WlSiojc4/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/motherwell-st-johnstone-EDHdpACA/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/st-mirren-livingston-b1J8s8dT/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/celtic-aberdeen-MswOTgij/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/st-mirren-hamilton-xfeaLmLi/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/st-johnstone-celtic-lYWYYL7s/
Scotland Premiership,2020-2021,https://www.oddsportal.com/football/scotland/premiership-2020-2021/aberdeen-st-mirren-b34CHKx7/
