league,season,match_url
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/aarau-grasshoppers-YTSBf9gT/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/grasshoppers-aarau-02F4dVOG/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/basel-luzern-2PjLODcK/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lugano-young-boys-MTDY0A5D/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/servette-lausanne-E3AQ2Wz1/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/grasshoppers-st-gallen-23FpCzEE/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/winterthur-sion-f1fP4h6l/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/yverdon-zurich-bV8gAErR/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lausanne-lugano-zcNblXL7/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/luzern-servette-EsZkjgie/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/young-boys-basel-8pWshFMr/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/sion-grasshoppers-l0kBcyaL/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/st-gallen-zurich-Gni3acU8/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/winterthur-yverdon-0v9Gyfx2/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/servette-lugano-SCe9wG7k/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/young-boys-luzern-ruKxqxpS/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lausanne-basel-vmNLnKp3/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/grasshoppers-yverdon-zFGUpbFF/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/sion-st-gallen-ngzzPGhd/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/zurich-winterthur-hfsRQxOq/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/servette-young-boys-neFgqovB/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/luzern-lausanne-QuRpo79b/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lugano-basel-IFNxmTvn/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/st-gallen-winterthur-GEVZSPgU/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/yverdon-sion-r1XRUoPH/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/zurich-grasshoppers-nZwJW7f5/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/yverdon-st-gallen-rmhgGnAO/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/basel-servette-Ign2zjet/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/luzern-lugano-v9zBYTPh/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/sion-zurich-nLbpI8uC/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lausanne-young-boys-E70xKUAa/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/winterthur-grasshoppers-Iu7TLjtm/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/basel-yverdon-Ukoog0X0/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lausanne-lugano-GrRuFsfK/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/servette-luzern-zT7C9LHs/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/st-gallen-sion-rgBK7anf/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/young-boys-zurich-48aT5wH6/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/grasshoppers-winterthur-Olvfiv2D/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/luzern-young-boys-xh660ruR/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/sion-servette-MPsweM2l/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lugano-st-gallen-UR2b24AE/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/zurich-basel-jqbJv1I7/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/winterthur-lausanne-M362rqJr/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/yverdon-grasshoppers-IVaBtNme/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/basel-lugano-fkjM2D4c/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/grasshoppers-luzern-G4vV0iZ9/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/st-gallen-servette-r1qyuACj/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/young-boys-yverdon-OG24pWlT/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lausanne-sion-fyBmlEk4/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/winterthur-zurich-j34dnhKG/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/basel-grasshoppers-SOZhSWSp/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/luzern-st-gallen-8KCujzLi/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/sion-winterthur-0EkEZEzB/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/zurich-lausanne-dtqNXh5N/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/servette-young-boys-Y1bcwcyn/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/yverdon-lugano-S0i6yy6b/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/grasshoppers-zurich-MNUvLFLH/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lausanne-luzern-rwJmJgjU/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/winterthur-basel-EcRWMyi5/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lugano-servette-8pdWOcMh/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/sion-yverdon-fwtGM7uP/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/young-boys-st-gallen-zXcOQJit/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/basel-young-boys-QclaQkt0/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lugano-winterthur-nDx8OTAC/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/grasshoppers-sion-K0oiSBBm/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/zurich-luzern-QaTIpKRE/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/servette-yverdon-xvmOOx5e/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/st-gallen-lausanne-Y5tXMGZ7/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/luzern-basel-6kDqWKCL/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/sion-lugano-jNlGQbzq/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/zurich-servette-bP9yYtr9/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/st-gallen-grasshoppers-rHRlAwj2/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/young-boys-lausanne-6yYAHLcS/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/yverdon-winterthur-A3TtCaLk/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/grasshoppers-young-boys-xdtfL3b3/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/yverdon-luzern-bBU2JsTF/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lugano-zurich-Akl8c06d/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lausanne-servette-jmY6aMyp/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/basel-sion-bkgS64qA/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/winterthur-st-gallen-fHny5rEM/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/servette-winterthur-ATCXpNMj/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/young-boys-lugano-jPkK8QEc/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/luzern-sion-tEM1jqaT/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/st-gallen-basel-pnThh5UG/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lausanne-grasshoppers-G6yxdmVi/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/zurich-yverdon-CYUpfRa4/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/basel-lausanne-4AMIjhgC/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/grasshoppers-servette-ObZjYqwo/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/yverdon-st-gallen-dpJAhEOa/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/winterthur-young-boys-0IP1fzfm/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lugano-luzern-j7dqxgvJ/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/sion-zurich-4nvWadWP/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/luzern-winterthur-MR4Suyuf/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/zurich-st-gallen-rsgyvF96/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/servette-basel-E11KscAs/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/young-boys-sion-WtbemJnK/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lausanne-yverdon-rLH0RyQ0/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lugano-grasshoppers-vmB9PFfD/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/basel-luzern-0f1ZdN7r/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/winterthur-zurich-UXcAbzqm/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/st-gallen-lugano-zXuxHraE/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/young-boys-yverdon-2odIdEDa/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/grasshoppers-lausanne-8K4se1xe/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/sion-servette-UZhjgu77/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/yverdon-winterthur-8dMf45F8/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/zurich-basel-tAK22qpL/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/luzern-st-gallen-bDZ2bFRk/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/servette-grasshoppers-6wwBdgd2/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lausanne-young-boys-6FfO5cZF/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lugano-sion-EubW3y4S/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/basel-sion-0dGuetLc/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/luzern-zurich-S87dibKM/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/st-gallen-lausanne-bibSoxrp/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/winterthur-lugano-fJiypGCd/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/grasshoppers-young-boys-6gJmgKkA/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/yverdon-servette-nDvN7J43/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lausanne-luzern-W2aCKaqo/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/lugano-basel-b9ibr3yh/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/zurich-yverdon-plYhXxTj/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/servette-st-gallen-KOu7ts64/
Switzerland Super League,2024-2025,https://www.oddsportal.com/football/switzerland/super-league-2024-2025/sion-grasshoppers-hjgEvLzH/
